City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Vaini,TO,2022-02-12 15:14:54,-21.2,-175.2,78.96,94,20,4.61,few clouds
134,Mount Gambier,AU,2022-02-12 15:14:54,-37.8333,140.7667,61.38,64,67,5.44,broken clouds
135,Nueva Concepcion,GT,2022-02-12 15:14:54,14.2,-91.3,87.17,51,0,0.96,clear sky
136,Dingle,PH,2022-02-12 15:14:55,10.9995,122.6711,75.16,91,95,8.86,overcast clouds
137,Westlock,CA,2022-02-12 15:14:55,54.1502,-113.8688,27.36,94,100,2.24,overcast clouds
138,Semey,KZ,2022-02-12 15:14:55,50.4111,80.2275,17.64,93,100,19.26,light snow
139,Zhigansk,RU,2022-02-12 15:14:56,66.7697,123.3711,-33.86,100,63,4.41,broken clouds
140,Katsuura,JP,2022-02-12 15:13:59,35.1333,140.3,42.91,56,100,3.18,overcast clouds
141,Kinston,US,2022-02-12 15:11:15,35.2627,-77.5816,62.51,41,0,8.05,clear sky
142,East London,ZA,2022-02-12 15:14:45,-33.0153,27.9116,83.34,78,20,13.8,few clouds
143,Erzin,TR,2022-02-12 15:14:56,36.9559,36.2,63.12,68,0,0.13,clear sky
144,Severo-Kurilsk,RU,2022-02-12 15:14:56,50.6789,156.125,19.4,79,86,4.56,overcast clouds
145,Geraldton,AU,2022-02-12 15:14:57,-28.7667,114.6,72.01,78,6,17.27,clear sky
146,Avarua,CK,2022-02-12 15:11:21,-21.2078,-159.775,73.45,94,90,2.3,overcast clouds
147,Tadine,NC,2022-02-12 15:14:57,-21.55,167.8833,79.54,84,100,6.62,overcast clouds
148,Zhuanghe,CN,2022-02-12 15:14:57,39.7008,122.9911,31.82,39,100,5.97,overcast clouds
149,Aleysk,RU,2022-02-12 15:14:58,52.4926,82.7822,-2.61,98,33,6.73,scattered clouds
150,Yaan,NG,2022-02-12 15:14:58,7.3833,8.5667,99.91,6,53,5.68,broken clouds
151,Ostrovnoy,RU,2022-02-12 15:14:58,68.0531,39.5131,16.23,94,88,11.32,overcast clouds
152,Ploemeur,FR,2022-02-12 15:14:59,47.7333,-3.4333,50.59,69,75,10.36,broken clouds
153,Markapur,IN,2022-02-12 15:14:59,15.7333,79.2833,74.46,53,6,4.25,clear sky
154,Kaeo,NZ,2022-02-12 15:14:59,-35.1,173.7833,71.33,86,99,27.56,overcast clouds
155,Kamaishi,JP,2022-02-12 15:14:59,39.2667,141.8833,34.72,89,83,5.91,broken clouds
156,Tasiilaq,GL,2022-02-12 15:15:00,65.6145,-37.6368,15.96,64,100,3.29,overcast clouds
157,Mahebourg,MU,2022-02-12 15:15:00,-20.4081,57.7,80.89,74,20,3.44,few clouds
158,Rundu,NA,2022-02-12 15:15:00,-17.9333,19.7667,77.18,59,99,3.31,light rain
159,Khairagarh,IN,2022-02-12 15:15:01,26.95,77.8167,59.56,40,0,5.01,clear sky
160,Sechura,PE,2022-02-12 15:15:01,-5.5569,-80.8222,75.97,64,98,4.79,overcast clouds
161,Constitucion,CL,2022-02-12 15:12:22,-35.3333,-72.4167,72.39,45,0,6.35,clear sky
162,Plaster Rock,CA,2022-02-12 15:15:02,46.9065,-67.39,40.55,100,100,9.66,overcast clouds
163,Alofi,NU,2022-02-12 15:15:02,-19.0595,-169.9187,75.09,88,14,1.14,few clouds
164,Henties Bay,NA,2022-02-12 15:15:03,-22.116,14.2845,74.97,77,8,9.4,clear sky
165,Hofn,IS,2022-02-12 15:15:04,64.2539,-15.2082,27.7,68,95,19.86,overcast clouds
166,Fortuna,US,2022-02-12 15:15:04,40.5982,-124.1573,47.32,76,0,10.36,clear sky
167,Kavaratti,IN,2022-02-12 15:15:05,10.5669,72.642,80.94,69,2,6.78,clear sky
168,Tuatapere,NZ,2022-02-12 15:15:05,-46.1333,167.6833,51.82,76,95,9.04,overcast clouds
169,Port Lincoln,AU,2022-02-12 15:15:05,-34.7333,135.8667,68.38,68,100,8.61,overcast clouds
170,Sao Filipe,CV,2022-02-12 15:15:06,14.8961,-24.4956,80.69,42,85,18.68,overcast clouds
171,Tokur,RU,2022-02-12 15:15:06,53.1333,132.9,-16.73,100,98,3.44,overcast clouds
172,Carlyle,US,2022-02-12 15:12:19,38.6103,-89.3726,21.6,75,63,5.01,broken clouds
173,Ratnagiri,IN,2022-02-12 15:15:06,16.9833,73.3,76.24,67,5,11.32,clear sky
174,Mandalgovi,MN,2022-02-12 15:15:06,45.7625,106.2708,-5.22,83,50,4.94,scattered clouds
175,Mayo,US,2022-02-12 15:15:07,38.8876,-76.5119,59.34,49,0,7.0,clear sky
