City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Jibuti,DJ,2022-02-05 00:20:31,11.5,42.5,63.82,56,2,6.93
145,Pitimbu,BR,2022-02-05 00:21:14,-7.4706,-34.8086,81.19,70,27,9.82
146,Cape Town,ZA,2022-02-05 00:21:14,-33.9258,18.4232,65.08,59,0,5.01
147,Saint Anthony,US,2022-02-05 00:21:15,45.0205,-93.218,6.87,66,0,3.0
148,Esperance,AU,2022-02-05 00:21:15,-33.8667,121.9,71.83,61,2,13.44
149,Mar Del Plata,AR,2022-02-05 00:17:32,-38.0023,-57.5575,66.87,84,100,7.0
150,Anloga,GH,2022-02-05 00:16:17,5.7947,0.8973,80.44,82,9,7.0
151,Khatanga,RU,2022-02-05 00:21:16,71.9667,102.5,-36.54,100,80,2.75
152,Provideniya,RU,2022-02-05 00:21:16,64.3833,-173.3,3.6,60,4,12.12
153,Prachuap Khiri Khan,TH,2022-02-05 00:21:16,12.2167,99.75,71.91,92,55,2.15
154,Port Hedland,AU,2022-02-05 00:21:17,-20.3167,118.5667,91.45,62,100,12.66
155,Tarangnan,PH,2022-02-05 00:21:17,11.9009,124.7459,74.8,89,100,10.22
156,Sistranda,NO,2022-02-05 00:21:18,63.7256,8.834,36.9,81,100,41.99
157,Ostersund,SE,2022-02-05 00:21:18,63.1792,14.6357,27.05,74,19,11.5
158,Broome,US,2022-02-05 00:21:19,42.2506,-75.833,18.63,77,100,3.0
159,Tra Vinh,VN,2022-02-05 00:21:19,9.9347,106.3453,75.63,81,67,6.29
160,Latung,PH,2022-02-05 00:21:19,5.5,120.8833,81.23,79,97,17.83
161,Bandarbeyla,SO,2022-02-05 00:18:53,9.4942,50.8122,72.81,74,1,5.97
162,Comodoro Rivadavia,AR,2022-02-05 00:20:50,-45.8667,-67.5,57.06,67,0,6.91
163,Belmonte,BR,2022-02-05 00:21:20,-15.8631,-38.8828,81.1,83,100,10.27
164,Sola,VU,2022-02-05 00:21:20,-13.8833,167.55,81.27,89,100,0.0
165,Severo-Kurilsk,RU,2022-02-05 00:21:21,50.6789,156.125,30.7,89,96,7.52
166,Juegang,CN,2022-02-05 00:21:21,32.3174,121.1855,38.91,57,17,12.12
167,Lavrentiya,RU,2022-02-05 00:21:21,65.5833,-171.0,-6.18,77,0,7.72
168,Tazovskiy,RU,2022-02-05 00:21:22,67.4667,78.7,6.87,96,99,6.26
169,Zhezkazgan,KZ,2022-02-05 00:21:22,47.8043,67.7144,5.5,84,38,11.5
170,Nizhniy Kuranakh,RU,2022-02-05 00:21:23,58.8353,125.4869,-6.36,99,100,3.49
171,Salug,PH,2022-02-05 00:21:23,8.1147,122.7833,78.67,85,79,11.21
172,Maningrida,AU,2022-02-05 00:21:24,-12.0667,134.2667,82.87,73,98,8.41
173,Vao,NC,2022-02-05 00:21:24,-22.6667,167.4833,80.17,87,100,17.67
174,Mareeba,AU,2022-02-05 00:21:25,-17.0,145.4333,81.66,86,100,1.5
175,Feijo,BR,2022-02-05 00:21:25,-8.1642,-70.3536,72.57,99,97,2.33
176,Westport,US,2022-02-05 00:21:25,41.1415,-73.3579,34.81,91,100,3.0
177,Grenaa,DK,2022-02-05 00:21:26,56.4158,10.8783,35.85,79,77,20.15
178,Palenque,MX,2022-02-05 00:21:26,17.5167,-91.9667,70.34,96,41,11.59
179,Sao Filipe,CV,2022-02-05 00:21:26,14.8961,-24.4956,73.94,70,0,6.42
180,Viedma,AR,2022-02-05 00:21:27,-40.8135,-62.9967,65.07,69,100,18.99
181,Dukat,RU,2022-02-05 00:21:27,62.55,155.55,-14.33,74,2,6.53
182,Kalabo,ZM,2022-02-05 00:21:28,-14.97,22.6814,65.46,95,99,4.52
183,Mlawa,PL,2022-02-05 00:22:28,53.1128,20.3841,39.09,92,100,14.85
184,Topolobampo,MX,2022-02-05 00:22:28,25.6,-109.05,67.91,34,0,18.41
185,Sawakin,SD,2022-02-05 00:22:29,19.1059,37.3321,68.07,51,5,11.12
186,Husavik,IS,2022-02-05 00:22:29,66.0449,-17.3389,19.31,94,100,4.34
187,Urumqi,CN,2022-02-05 00:22:02,43.801,87.6005,-1.25,85,75,2.24
188,Maldonado,UY,2022-02-05 00:18:26,-34.6667,-54.9167,69.19,94,34,3.04
189,Caldwell,US,2022-02-05 00:20:00,43.6629,-116.6874,38.19,60,0,8.05
190,Ancud,CL,2022-02-05 00:22:30,-41.8697,-73.8203,59.43,82,81,2.39
191,Quatre Cocos,MU,2022-02-05 00:22:30,-20.2078,57.7625,79.09,86,98,17.07
192,Kant,IN,2022-02-05 00:22:31,27.8,79.8,46.56,94,0,4.43
193,Nizhniy Tsasuchey,RU,2022-02-05 00:22:31,50.5167,115.1333,2.21,79,32,11.99
194,Arraial Do Cabo,BR,2022-02-05 00:22:31,-22.9661,-42.0278,76.66,87,95,21.39
195,Kishorganj,BD,2022-02-05 00:22:32,24.4333,90.7667,57.78,93,86,9.71
196,Road Town,VG,2022-02-05 00:20:03,18.4167,-64.6167,75.24,83,20,11.5
197,Novoagansk,RU,2022-02-05 00:22:32,61.9449,76.6625,14.5,95,100,9.6
198,Talcahuano,CL,2022-02-05 00:22:33,-36.7167,-73.1167,61.68,75,1,17.45
199,High Level,CA,2022-02-05 00:22:33,58.5169,-117.136,-0.29,78,100,4.61
200,Satara,IN,2022-02-05 00:22:34,17.6833,73.9833,59.07,67,15,1.88
201,Arman,RU,2022-02-05 00:22:34,59.7,150.1667,-1.28,72,87,12.93
202,Raton,US,2022-02-05 00:22:34,36.9034,-104.4391,32.65,42,0,4.61
203,San Patricio,US,2022-02-05 00:22:35,28.017,-97.5169,46.49,58,36,17.4
204,Saskylakh,RU,2022-02-05 00:22:35,71.9167,114.0833,-7.74,99,100,5.57
205,Ekimchan,RU,2022-02-05 00:22:36,53.0667,132.9667,-12.55,97,70,2.66
206,Shinuhayr,AM,2022-02-05 00:22:36,39.4367,46.3179,28.29,78,93,4.29
207,Ostrovnoy,RU,2022-02-05 00:22:37,68.0531,39.5131,10.44,88,100,19.1
208,Walvis Bay,NA,2022-02-05 00:22:37,-22.9575,14.5053,66.09,88,74,5.75
209,Rundu,NA,2022-02-05 00:22:37,-17.9333,19.7667,65.52,94,70,4.03
210,Alpena,US,2022-02-05 00:22:38,45.0617,-83.4327,10.54,74,75,1.01
211,Santander,ES,2022-02-05 00:22:38,43.4647,-3.8044,50.99,72,100,7.0
212,Kochki,RU,2022-02-05 00:22:06,54.3358,80.4806,8.29,85,88,8.52
213,Am Timan,TD,2022-02-05 00:22:39,11.0297,20.2827,72.1,19,16,6.67
214,Ottawa,CA,2022-02-05 00:20:26,45.4112,-75.6981,10.98,71,75,10.36
215,Wanning,CN,2022-02-05 00:22:39,18.8003,110.3967,63.18,88,100,10.11
216,Gnjilane,XK,2022-02-05 00:22:39,42.4604,21.4699,29.59,82,6,0.81
217,Cidreira,BR,2022-02-05 00:22:40,-30.1811,-50.2056,72.82,93,99,6.33
218,Trincomalee,LK,2022-02-05 00:22:40,8.5711,81.2335,75.0,80,13,7.52
219,Arlit,NE,2022-02-05 00:22:40,18.7369,7.3853,58.15,22,0,8.93
220,Opuwo,NA,2022-02-05 00:22:41,-18.0607,13.84,69.22,50,80,2.82
221,San,ML,2022-02-05 00:22:41,13.3034,-4.8956,72.95,12,15,9.98
222,Muros,ES,2022-02-05 00:22:42,42.7762,-9.0603,52.23,88,97,14.74
223,Omboue,GA,2022-02-05 00:22:42,-1.5746,9.2618,76.95,85,62,4.63
224,Gobabis,NA,2022-02-05 00:22:43,-22.45,18.9667,70.3,65,11,10.67
225,Adrar,MR,2022-02-05 00:22:43,20.5022,-10.0711,65.5,11,14,9.28
226,Najran,SA,2022-02-05 00:22:43,17.4924,44.1277,66.85,71,7,8.59
227,Costinesti,RO,2022-02-05 00:22:44,43.95,28.6333,36.01,79,18,10.4
228,Madisonville,US,2022-02-05 00:18:01,37.3281,-87.4989,22.86,96,67,4.54
229,Salinopolis,BR,2022-02-05 00:23:44,-0.6136,-47.3561,78.42,85,100,8.97
230,Jinchang,CN,2022-02-05 00:23:44,38.4953,102.1739,16.83,38,100,4.54
231,Tura,IN,2022-02-05 00:23:45,25.5198,90.2201,53.08,96,76,3.27
232,Aquiraz,BR,2022-02-05 00:23:45,-3.9014,-38.3911,82.49,80,68,8.46
233,Nemuro,JP,2022-02-05 00:23:46,43.3236,145.575,23.43,70,16,12.08
234,Kudahuvadhoo,MV,2022-02-05 00:23:46,2.6708,72.8944,81.37,74,75,7.87
235,Udachnyy,RU,2022-02-05 00:23:46,66.4167,112.4,-33.86,100,65,3.58
236,Ambon,ID,2022-02-05 00:23:47,-3.6954,128.1814,84.34,74,0,4.61
237,Batsfjord,NO,2022-02-05 00:23:47,70.6345,29.7185,19.62,91,100,28.07
238,Wanlaweyn,SO,2022-02-05 00:23:47,2.6185,44.8938,74.41,79,36,12.59
239,Las Vegas,US,2022-02-05 00:19:37,36.175,-115.1372,57.58,20,0,3.44
240,Lobito,AO,2022-02-05 00:23:48,-12.3481,13.5456,75.02,73,100,5.66
241,Aktash,RU,2022-02-05 00:23:48,50.3,87.7333,-18.65,77,3,5.41
242,Tekeli,KZ,2022-02-05 00:23:49,44.83,78.8239,16.3,58,3,11.16
243,Bethel,US,2022-02-05 00:23:49,41.3712,-73.414,32.52,85,100,5.75
244,Pampa,US,2022-02-05 00:23:49,35.5362,-100.9599,34.75,74,0,5.75
245,Nortelandia,BR,2022-02-05 00:23:50,-14.4547,-56.8028,74.73,90,88,2.75
246,Mandera,KE,2022-02-05 00:23:50,3.9366,41.867,76.55,21,61,6.35
247,Xining,CN,2022-02-05 00:23:50,36.6167,101.7667,14.7,68,100,3.4
248,Labytnangi,RU,2022-02-05 00:23:51,66.6572,66.4183,1.74,96,98,2.98
249,Oksfjord,NO,2022-02-05 00:23:51,70.2396,22.3479,17.01,90,98,14.58
250,Coquimbo,CL,2022-02-05 00:23:51,-29.9533,-71.3436,66.09,79,1,4.47
251,Zyryanka,RU,2022-02-05 00:23:52,65.75,150.85,-37.37,100,99,2.89
252,Chumikan,RU,2022-02-05 00:23:52,54.7183,135.315,-3.28,77,100,15.21
253,Kavieng,PG,2022-02-05 00:23:52,-2.5744,150.7967,83.23,70,93,5.61
254,Puro,PH,2022-02-05 00:23:53,12.4841,123.3827,76.55,84,100,15.75
255,Airai,TL,2022-02-05 00:23:53,-8.9266,125.4092,68.16,73,85,1.77
256,Eloy,US,2022-02-05 00:23:53,32.7559,-111.5548,63.25,15,0,15.84
257,Poum,NC,2022-02-05 00:23:54,-20.2333,164.0167,81.48,78,99,19.08
258,Mitsamiouli,KM,2022-02-05 00:23:54,-11.3847,43.2844,81.39,80,83,12.12
259,Panaba,MX,2022-02-05 00:23:55,21.2833,-88.2667,76.62,76,35,12.71
260,Arsenyev,RU,2022-02-05 00:23:55,44.1631,133.2733,0.25,90,90,4.0
261,Pisco,PE,2022-02-05 00:23:55,-13.7,-76.2167,68.05,83,0,18.41
262,Gimli,CA,2022-02-05 00:19:14,50.6336,-96.9907,-13.88,76,86,3.44
263,Hamilton,US,2022-02-05 00:23:56,39.1834,-84.5333,24.04,86,100,2.82
264,Ayia Galini,GR,2022-02-05 00:23:56,35.1,24.6833,47.39,78,1,5.19
265,Bambous Virieux,MU,2022-02-05 00:23:57,-20.3428,57.7575,79.21,86,100,18.39
266,Tiznit,MA,2022-02-05 00:23:57,29.5833,-9.5,63.32,32,100,0.67
267,Vendome,FR,2022-02-05 00:23:58,47.8,1.0667,35.89,89,9,6.64
268,Manaure,CO,2022-02-05 00:23:58,11.7751,-72.4445,79.09,73,12,21.65
269,Atar,MR,2022-02-05 00:23:59,20.5169,-13.0499,70.9,11,16,5.91
270,Grindavik,IS,2022-02-05 00:23:59,63.8424,-22.4338,27.07,63,100,19.57
271,Sarahan,IN,2022-02-05 00:23:59,31.5167,77.8,21.97,61,2,11.27
272,Taylorville,US,2022-02-05 00:24:00,39.5489,-89.2945,22.98,68,100,8.05
